,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles}.,
1,What is the short pleated skirt worn by Scottish men?,Kilt,Kilts}.,
2,"What is the hard, white material sourced from elephant tusks?",Ivory, ivory}.,
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,Barter}.,
4,What is an airplane without an engine called?,Glider,Airplane}.,
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,Tourniquet},
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Velcro}.,
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,McCartney}.,
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Auld Lang Syne}.,
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,Cassius Clay}.,
10,What is the traditional daytime sleep in Spain?,Siesta,Matinero}.,
11,"In what park is ""Old Faithful"" located?",Yellowstone,Yellowstone National Park}.,
12,What is the name of the art of Japanese paper folding?,Origami,Kusudama}.,
13,Who was England's prime minister during World War II?,Churchill,Winston Churchill}.,
14,"What is the word ""memo"" short for?",Memorandum,Message}.,
15,What is the colored portion of the eye?,Iris,Iris}.,
16,What is the name of the shell from which people hear the sea?,Conch,Conch shell}.,
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,Cremation urn}.,
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,Calculator}.,
19,What device blows air on to a fire to make it hotter?,Bellows,Fan}.,
20,"What is the proper name for a ""tidal wave""?",Tsunami,Ocean wave}.,
21,What is a goat's offspring called?,Kid,Calves}.,
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,Periscope}.,
23,What is the term for nautical mile per hour?,Knot,1.852},
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,Loch Ness}.,
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,Papyrus}.,
26,Which video game character is a plumber?,Super Mario,Mario}.,
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,Broguing}.,
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,Sabin}.,
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,The Dukes of Butcher Holler}.,
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,Charles M. Schulz}.,
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,Gestation period}.,
32,Which was the 49th state to join the Union?,Alaska,Hawaii}.,
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,Love}.,
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,13th Amendment}.,
35,Of which country is Budapest the capital?,Hungary,Hungary}.,
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,Interrogative}.,
37,What word means to formally renounce a throne?,Abdicate,Abdication}.,
38,Which president suffered from polio?,Roosevelt,John F. Kennedy}.,
39,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,Braised}.,
40,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,Theist}.,
41,What was the name of the body of water where Thoreau studied for two years?,Walden Pond, Walden Pond}.,
42,Where was the Declaration of Independence signed?,Philadelphia,"Philadelphia, USA}.",
43,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,Seasonal shedding}.,
44,"What is the musical term that means ""without instrumental accompaniment""?",A capella,Piano Solo}.,
45,What do we call the bone which composes the lower jaw?,Mandible,Mandible}.,
46,What is the last name of the first female pilot to cross the Atlantic?,Earhart,Amelia}.,
47,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,Confederates}.,
48,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,Aesop}.,
49,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,Panderosas}.,
50,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,Cowboy Cooker}.,
51,What are people who make maps called?,Cartographers,Cartographers}.,
52,What is the unit that marks sound intensity?,Decibel,Decibel}.,
53,What is the front section of a boat?,Bow,Bow}.,
54,Humans are classified as what species?,Sapiens,Homo sapiens}.,
55,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,Buckingham Palace}.,
56,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes,Cannes].,
57,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,Anger}.,
58,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,Simmering Spice}.,
59,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,"Monotremes, Marsupials, Placental mammals}.",
60,Who is the artist that painted everyday objects such as soup cans?,Warhol,Pablo Picasso}.,
61,What do you call a plant material such as straw used as a roofing material for a house?,Thatch,Bamboo}.,
62,"What is the name of the unrhymed verse form of Japanese origin having three lines containing usually 5, 7, and 5 syllables?",Haiku,Tanka}.,
63,What is the capital of Thailand?,Bangkok,Bangkok}.,
64,"Who is the oldest sister in ""The Brady Bunch""?",Marcia,Jan Brady}.,
65,What word means to divide an area into electoral district in order to give special advantage to one political party?,Gerrymander,Parliamentary divisions}.,
66,What is the fin on the back of a fish called?,Dorsal,Scales}.,
67,What mammal has armor-like bony plates as its most distinguishing feature?,Armadillo,Tortoise}.,
68,What did the Seven Dwarves do for a living?,Mining,Mining}.,
69,What river separates Washington D.C. from Virginia?,Potomac,Potomac River}.,
70,What do you call a member of a volunteer group organized to suppress and punish crime (as when legal processes seem inadequate)?,Vigilante,Police}.,
71,What instrument is used to measure earthquakes?,Seismograph,Seismograph}.,
72,What was the land where Puff the Magic Dragon lives?,Honalee,Mystic Falls}.,
73,What sailor's disease resulted from a deficiency in vitamin C?,Scurvy,Scurvy}.,
74,What is the technical term for the phenomenon commonly known as the Northern Lights?,Aurora Borealis,Aurora Borealis}.,
75,What type of paper is commonly used as an acid-base indicator in chemistry classes?,Litmus,Phenolphthalein}.,
76,What is the name of the short sword fastened to the end of a musket or rifle?,Bayonet,Breechblade}.,
77,Where is the Amazon rainforest located?,Brazil,South America}.,
78,What device is used to measure levels of radioactivity?,Geiger Counter,Geiger Counter}.,
79,Who was the magician and prophet from King Arthur's era?,Merlin,Merlin}.,
80,What was the name of the disorder depicted by Dustin Hoffman's character in the movie 'Rainman' otherwise known as Idiot Savantism?,Autism,Autism}.,
81,What does VoIP stand for?,Voice over Internet Protocol,Voice over Internet Protocol}.,
82,Who defeated Pres. Harry Truman in the 1948 election according to an infamous Chicago Tribune headline?,Thomas Dewey,Stalin}.,
