,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles}.,
1,What is the short pleated skirt worn by Scottish men?,Kilt,Kilt}.,
2,"What is the hard, white material sourced from elephant tusks?",Ivory,Ivory}.,
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,Merchandise exchange}.,
4,What is an airplane without an engine called?,Glider,airship}.,
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,Pneumatic tourniquet}.,
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Nylon tape},
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,Halsey}.,
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Auld Lang Syne},
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,Juke}.,
10,What is the traditional daytime sleep in Spain?,Siesta,Sixto de la tarde}.,
11,"In what park is ""Old Faithful"" located?",Yellowstone,Yellowstone National Park}.,
12,What is the name of the art of Japanese paper folding?,Origami,Kite folding},
13,Who was England's prime minister during World War II?,Churchill,Winston Churchill and then Winston Churchill and Clement Attlee}.,
14,"What is the word ""memo"" short for?",Memorandum,Memorandum}.,
15,What is the colored portion of the eye?,Iris,Iris}.,
16,What is the name of the shell from which people hear the sea?,Conch,Ear}.,
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,urn}.,
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,Abacus}.,
19,What device blows air on to a fire to make it hotter?,Bellows,blower},
20,"What is the proper name for a ""tidal wave""?",Tsunami,Hy Chatty Wave},
21,What is a goat's offspring called?,Kid,Kids}.,
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,Dive**Scope},
23,What is the term for nautical mile per hour?,Knot,"Speed of a ship or aircraft on water, typically measured in knots}.",
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,Loch Ness}.,
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,papyrus},
26,Which video game character is a plumber?,Super Mario,Ratchet}.,
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,Belt-knitting or shoelace-making}.,
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,Jenner}.,
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield, Hatfield and the { Claboes },
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,Charles M. Schulz}.,
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,gestation}.,
32,Which was the 49th state to join the Union?,Alaska,Rhode Island}.,
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,Golden Rule}.,
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,Mason-Dixon Line},
35,Of which country is Budapest the capital?,Hungary,Hungary}.,
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,Trick question}.,
