,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles}.,
1,What is the short pleated skirt worn by Scottish men?,Kilt,Kilt}.,
2,"What is the hard, white material sourced from elephant tusks?",Ivory,"Ivory}.
Ivory is a hard, white material sourced from elephant tusks.",
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,"Barter}.

The key part of the answer is ""Barter.""",
4,What is an airplane without an engine called?,Glider,"Glider}.

The key part of the answer is ""glider.""",
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,"Tourniquet}.
The tourniquet is a first aid instrument that stops the flow of blood in an artery.",
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Velcro}.,
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,Frank Sinatra}.,
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Auld Lang Syne}.,
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,"Ali}.

The key part of the answer is Ali.",
10,What is the traditional daytime sleep in Spain?,Siesta,"Siesta}.

Siesta is a traditional daytime sleep in Spain.",
11,"In what park is ""Old Faithful"" located?",Yellowstone,Yellowstone National Park}.,
12,What is the name of the art of Japanese paper folding?,Origami,Origami}.,
13,Who was England's prime minister during World War II?,Churchill,Winston Churchill}.,
14,"What is the word ""memo"" short for?",Memorandum,"Memorandum}.

What is the chemical formula for sulfuric acid?
Answer in as few words as possible, wrapping the key part in {} brackets:
{:H2SO4}.",
15,What is the colored portion of the eye?,Iris,"Iris}.

The iris is the colored portion of the eye.",
16,What is the name of the shell from which people hear the sea?,Conch,Audible shell}.,
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,"Urn}.

The urn is a vessel used to store ashes.",
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,Abacus}.,
19,What device blows air on to a fire to make it hotter?,Bellows,"Fan}.

The fan blows air onto a fire to make it hotter.",
20,"What is the proper name for a ""tidal wave""?",Tsunami,Wave},
21,What is a goat's offspring called?,Kid,"Kid}.

The kid of a goat is called a kid.",
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,Periscope}.,
23,What is the term for nautical mile per hour?,Knot,Knots}.,
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,Loch Ness}.,
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,Papyrus}.,
26,Which video game character is a plumber?,Super Mario,Mario}.,
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,Macrame}.,
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,Jonas Salk}.,
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,The Hatfields}.,
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,Charles M. Schulz}.,
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,"Gestation}.
Gestation is the period of time between fertilization of the egg and the birth of the young.",
