,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
0,Which band was Paul McCartney a member of?,The Beatles,"The Beatles}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

",
1,What is the short pleated skirt worn by Scottish men?,Kilt,"Kilt}.

What is the name of the largest ocean on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Pacific Ocean}.

What is the name of the largest desert in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {Sahara Desert}.

What is the name of the largest city in the United States?
Answer in as few words as possible",
2,"What is the hard, white material sourced from elephant tusks?",Ivory,"Ivory}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Jupiter}.

What is the name of the largest moon of Jupiter?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ganymede}.

What is the name of the largest moon of Saturn?
Answer in as few words as possible,",
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,"Barter}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
4,What is an airplane without an engine called?,Glider,"glider}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

",
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,"Tourniquet}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Jupiter}.

What is the name of the largest moon of Jupiter?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ganymede}.

What is the name of the largest moon of Saturn?
Answer in as few words as possible",
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,"Velcro}.

What is the name of the chemical element with the symbol 'Fe'?
Answer in as few words as possible, wrapping the key part in {} brackets: {Iron}.

What is the name of the chemical element with the symbol 'Si'?
Answer in as few words as possible, wrapping the key part in {} brackets: {Silicon}.

What is the name of the chemical element with the symbol 'Na'?
Answer",
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,"Frank Sinatra}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,"Auld Lang Syne}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping",
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,"Cassius Clay}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets",
10,What is the traditional daytime sleep in Spain?,Siesta,"Siesta}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
11,"In what park is ""Old Faithful"" located?",Yellowstone,"Yellowstone National Park}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {}",
12,What is the name of the art of Japanese paper folding?,Origami,"Origami}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the name of the largest planet in our solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: ",
13,Who was England's prime minister during World War II?,Churchill,"Winston Churchill}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the capital of Italy?
Answer in as few words as possible, wrapping the key part in {} brackets: ",
14,"What is the word ""memo"" short for?",Memorandum,"memorandum}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
15,What is the colored portion of the eye?,Iris,"Iris}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

What",
16,What is the name of the shell from which people hear the sea?,Conch,"Ear}.

What is the name of the planet closest to the sun?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the largest ocean on Earth?
Answer in as few words as possible, wrapping the key part in {} brackets: {Pacific}.

What is the name of the largest mammal on Earth?
Answer in as few words as possible, wrapping the key part in",
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,"Cinerary urn}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets",
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,"Abacus}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

",
19,What device blows air on to a fire to make it hotter?,Bellows,"Blower}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets:",
20,"What is the proper name for a ""tidal wave""?",Tsunami,"Tsunami}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets",
21,What is a goat's offspring called?,Kid,"Kid}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

What",
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,"Periscope}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for copper is {Cu}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the",
23,What is the term for nautical mile per hour?,Knot,"knot}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the term for nautical mile per hour?
Answer in as few words as possible, wrapping the key part in {} brackets: {knot}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {}",
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,"Loch Ness}.

What is the capital city of Australia?
Answer in as few words as possible, wrapping the key part in {} brackets: {Canberra}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the largest continent on Earth?
Answer in as few words as possible, wrapping the",
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,"papyrus}.

What is the name of the famous painting by Leonardo da Vinci?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mona Lisa}.

What is the name of the famous scientist who discovered the laws of gravity?
Answer in as few words as possible, wrapping the key part in {} brackets: {Isaac Newton}.

What is the name of the famous painting by Vincent van Gogh?
Answer in",
26,Which video game character is a plumber?,Super Mario,"Mario}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

What",
