,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
0,Which band was Paul McCartney a member of?,The Beatles,"The Beatles}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for oxygen?
Answer in as few words as possible, wrapping the key part in {} brackets: {O}.

What is the chemical symbol for carbon?
Answer in as few words as possible, wrapping the key part in {} brackets: {C}.

",
1,What is the short pleated skirt worn by Scottish men?,Kilt,"Kilt}.

What is the name of the 1980s American TV show about a family of lawyers?
Answer in as few words as possible, wrapping the key part in {} brackets: {The Practice}.

What is the name of the 1980s American TV show about a family of lawyers?
Answer in as few words as possible, wrapping the key part in {} brackets: {The Practice}.

What is the",
2,"What is the hard, white material sourced from elephant tusks?",Ivory,"Ivory}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping the key part in {} brackets: {Cu}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.
",
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,"barter}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping the key part in {} brackets: {Cu}.
",
4,What is an airplane without an engine called?,Glider,"Helicopter}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping the key part in {} brackets: {Cu}.",
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,"Compression}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?
Answer in as",
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,"Velcro}.

What is the name of the chemical element with the atomic number 118?
Answer in as few words as possible, wrapping the key part in {} brackets: {Oganesson}.

What is the name of the chemical element with the atomic number 117?
Answer in as few words as possible, wrapping the key part in {} brackets: {Livermorium}.

What is the name of the chemical element with",
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,"Taylor}.

What is the name of the person who wrote the song 'I did it my way'?
Answer in as few words as possible, wrapping the key part in {} brackets: {Taylor}.

What is the name of the person who wrote the song 'I did it my way'?
Answer in as few words as possible, wrapping the key part in {} brackets: {Taylor}.

What is the name of the person who wrote the",
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,"Auld Lang Syne}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?",
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,"Cassius Clay}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?
Answer",
10,What is the traditional daytime sleep in Spain?,Siesta,"8:00 AM}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first person to walk on the moon?",
11,"In what park is ""Old Faithful"" located?",Yellowstone,"Yellowstone National Park}.

What is the capital of France?
Answer in as few words as possible, wrapping the key part in {} brackets: {Paris}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: {Ag}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fe}.",
