,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
0,Which band was Paul McCartney a member of?,The Beatles,"The Beatles}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {}",
1,What is the short pleated skirt worn by Scottish men?,Kilt,"Tartan kilt}.

What is the name of the first female president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {Abigail Adams}.

What is the name of the first female president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {Abigail Adams}.

What is the name of the first female president of the United States?
Answer in as few words as possible",
2,"What is the hard, white material sourced from elephant tusks?",Ivory,"Ivory}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the",
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,"Barter}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping",
4,What is an airplane without an engine called?,Glider,"Airframe}.

What is the name of the first person to fly a plane?
Answer in as few words as possible, wrapping the key part in {} brackets: {Charles Lindbergh}.

What is the name of the first person to fly a plane across the Atlantic Ocean?
Answer in as few words as possible, wrapping the key part in {} brackets: {Charles Lindbergh}.

What is the name of the first person to fly a plane across the Atlantic Ocean?
Answer in",
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,"tourniquet}.

What is the term for the first aid instrument which is used to stop the flow of blood in an artery preventing it from being lost through a wound?
Answer in as few words as possible, wrapping the key part in {} brackets: {tourniquet}.

What is the term for the first aid instrument which is used to stop the flow of blood in an artery preventing it from being lost through a wound?
Answer in as few words as possible, wrapping the key",
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,"Velcro}.

What is the name of the chemical element with the symbol {Cu}",
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,"Frank Sinatra}.

What is the name of the first female president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {Lyndon B. Johnson}.

What is the name of the first female president of the United States?
Answer in as few words as possible, wrapping the key part in {} brackets: {Lyndon B. Johnson}.

What is the name of the first female president of the United States?
Answer in as",
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,"Auld Lang Syne}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the first planet in the solar system?
Answer in as few words as possible, wrapping the key",
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,"Ali}.

What is the name of the first woman to win a gold medal in the Olympic Games?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fanny Blankers-Koen}.

What is the name of the first woman to win a gold medal in the Olympic Games?
Answer in as few words as possible, wrapping the key part in {} brackets: {Fanny Blankers-Koen}.

What is the name of the first woman to",
10,What is the traditional daytime sleep in Spain?,Siesta,"siesta}.

What is the name of the largest river in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {Amazon}.

What is the name of the largest lake in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {Lake Baikal}.

What is the name of the largest mountain in the world?
Answer in as few words as possible, wrapping the key part in {} brackets",
11,"In what park is ""Old Faithful"" located?",Yellowstone,"Yellowstone}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first woman to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Buzz Aldrin}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible,",
