,Question,Correct_Answer_Text,fr_model_answer,fr_correct?
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles},
1,What is the short pleated skirt worn by Scottish men?,Kilt,Scottish men},
2,"What is the hard, white material sourced from elephant tusks?",Ivory, ivory},
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,barter},
4,What is an airplane without an engine called?,Glider,airplane},
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,splint},
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Nylon},
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,Bach},
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Happy New Year},
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,Ali},
10,What is the traditional daytime sleep in Spain?,Siesta,morning},
11,"In what park is ""Old Faithful"" located?",Yellowstone,Yellowstone},
12,What is the name of the art of Japanese paper folding?,Origami,paper folding},
13,Who was England's prime minister during World War II?,Churchill,Churchill},
14,"What is the word ""memo"" short for?",Memorandum,memo},
15,What is the colored portion of the eye?,Iris,the colored portion of the eye},
16,What is the name of the shell from which people hear the sea?,Conch,ocean},
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,urn},
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,slide rule},
19,What device blows air on to a fire to make it hotter?,Bellows,a fan},
20,"What is the proper name for a ""tidal wave""?",Tsunami,tidal wave},
21,What is a goat's offspring called?,Kid,a goat's offspring},
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,Submarine periscope},
23,What is the term for nautical mile per hour?,Knot,1.852},
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,Loch Ness},
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,papyrus},
26,Which video game character is a plumber?,Super Mario,Mario},
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,knitting},
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,Polio},
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,The Hatfields and the McCoys},
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,Charles M. Schulz},
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,gestation},
32,Which was the 49th state to join the Union?,Alaska,Alabama},
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,Love},
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,1861},
35,Of which country is Budapest the capital?,Hungary,Hungary},
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,"A question that is asked for effect with no answer expected.}

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}",
37,What word means to formally renounce a throne?,Abdicate,abdication},
38,Which president suffered from polio?,Roosevelt,John F. Kennedy},
39,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,sauce},
40,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,atheist},
41,What was the name of the body of water where Thoreau studied for two years?,Walden Pond,Thoreau},
42,Where was the Declaration of Independence signed?,Philadelphia,"Philadelphia, PA}",
43,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,shedding},
44,"What is the musical term that means ""without instrumental accompaniment""?",A capella,without instrumental accompaniment},
45,What do we call the bone which composes the lower jaw?,Mandible,mandible},
46,What is the last name of the first female pilot to cross the Atlantic?,Earhart,Wright},
47,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,The Carpetbaggers},
48,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,The Fox and the Grapes},
49,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,Spanish dancers},
50,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,cowboy},
51,What are people who make maps called?,Cartographers,cartographers},
52,What is the unit that marks sound intensity?,Decibel,dB},
53,What is the front section of a boat?,Bow,front},
54,Humans are classified as what species?,Sapiens,Homo sapiens},
55,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,The Palace of Westminster},
56,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes,Cannes},
57,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,resentment},
58,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,perfume},
