Set,CR Rank,MC rank,T. et al. rank,N & N rank,Question,CORRECT ANSWER,Correct,MC  (response times) – Errors,MC  (response times) – Correct,MC FOILS  (% of times selected as response) – Foil 1,MC FOILS  (% of times selected as response) – Foil 2,MC FOILS  (% of times selected as response) – Foil 3,MC FOILS  (% of times selected as response) – Difference (MC-CR)
B,1,19,NA,NA,Which band was Paul McCartney a member of?,The Beatles,.96,8795,4329,The Monkees (2.0%),The Rolling Stones (2.0%),The Yardbirds (0.0%),-.02
B,2,140,NA,NA,What is the short pleated skirt worn by Scottish men?,Kilt,.78,5279,4757,Glengarry (0.0%),Kelt (20.4%),Shendyt (2.0%),-.19
B,3,2.5,NA,NA,"What is the hard, white material sourced from elephant tusks?",Ivory,1.00,,5265,Enamel (0.0%),Baleen (0.0%),Porcelain (0.0%),.06
B,4,50,NA,NA,What word means to trade by exchanging goods for other goods rather than money?,Barter,.92,9128,7562,Export (0.0%),Haggle (2.0%),Swap (6.1%),-.01
B,5,50,NA,NA,What is an airplane without an engine called?,Glider,.92,11400,5656,Airship (2.0%),Biplane (4.1%),Prop (2.0%),.03
C,6,50,NA,NA,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,.92,15044,10482,Bandage (4.1%),Splint (2.0%),Stabilizer (2.0%),.04
B,7,74,NA,NA,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,.90,9350,7973,Hook And Eye (10.2%),Poppers (0.0%),Toggles (0.0%),.03
C,8.5,2.5,NA,NA,What is the last name of the person who sang 'I did it my way'?,Sinatra,1.00,,6004,Gaye (0.0%),Holly (0.0%),Humperdinck (0.0%),.13
C,8.5,50,NA,NA,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,.92,14585,5639,Ave Maria (2.0%),Happy Days Are Here Again (4.1%),Memories (2.0%),.05
B,11,19,NA,NA,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,.96,8616,11501,Frazier (0.0%),Lewis (0.0%),Liston (4.1%),.11
B,11,93,NA,NA,What is the traditional daytime sleep in Spain?,Siesta,.88,7842,5355,Despierto (0.0%),Dormir (4.1%),Fiesta (8.2%),.03
