Set,CR Rank,T. et al. rank,N & N rank,General Knowledge Question,Correct Answer,CR (proportion of responses) – Correct,CR (proportion of responses) – DR,CR (proportion of responses) – DK,CR (proportion of responses) – CE,CR (proportion of responses) – OE,CR (response times) – Correct,CR (response times) – DR,CR (response times) – DK,CR (response times) – CE,CR (response times) – OE
B,1,NA,NA,Which band was Paul McCartney a member of?,The Beatles,.98,.00,.00,.02,.00,8611,,,4582,
B,2,NA,NA,What is the short pleated skirt worn by Scottish men?,Kilt,.96,.00,.00,.04,.00,7763,,,11733,
B,3,NA,NA,"What is the hard, white material sourced from elephant tusks?",Ivory,.94,.00,.04,.02,.00,6901,,14494,9386,
B,4,NA,NA,What word means to trade by exchanging goods for other goods rather than money?,Barter,.93,.00,.02,.04,.02,8453,,29489,32738,1364
B,5,NA,NA,What is an airplane without an engine called?,Glider,.89,.02,.07,.02,.00,6880,5430,7717,32545,
C,6,NA,NA,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,.88,.00,.01,.10,.00,23202,,16600,39152,
B,7,NA,NA,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,.87,.04,.04,.06,.00,12326,183957,62285,11946,
C,8.5,NA,NA,What is the last name of the person who sang 'I did it my way'?,Sinatra,.87,.03,.03,.06,.01,10785,10784,5366,14341,6594
C,8.5,NA,NA,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,.87,.04,.00,.09,.00,18159,41149,,23715,
B,11,NA,NA,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,.85,.04,.07,.02,.02,9379,21630,5736,27818,1288
B,11,NA,NA,What is the traditional daytime sleep in Spain?,Siesta,.85,.00,.07,.06,.02,9749,,12661,10791,1300
B,11,NA,NA,"In what park is ""Old Faithful"" located?",Yellowstone,.85,.00,.04,.11,.00,9123,,2761,8365,
B,14.5,NA,NA,What is the name of the art of Japanese paper folding?,Origami,.83,.04,.11,.02,.00,7933,9414,7108,4293,
B,14.5,NA,NA,Who was England's prime minister during World War II?,Churchill,.83,.04,.09,.04,.00,10940,31309,6683,11696,
B,14.5,NA,NA,"What is the word ""memo"" short for?",Memorandum,.83,.00,.04,.13,.00,10208,,30041,17991,
B,14.5,NA,NA,What is the colored portion of the eye?,Iris,.83,.00,.09,.07,.00,8243,,6351,14192,
C,17,NA,NA,What is the name of the shell from which people hear the sea?,Conch,.82,.03,.03,.12,.00,8982,12665,10463,20702,
B,18.5,NA,NA,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,.81,.04,.09,.06,.00,13077,25170,12579,12573,
B,18.5,NA,NA,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,.81,.06,.09,.02,.02,10870,24474,28189,30351,1201
C,20,NA,NA,What device blows air on to a fire to make it hotter?,Bellows,.81,.07,.03,.07,.01,10347,20636,21092,25225,8690
B,21,NA,NA,"What is the proper name for a ""tidal wave""?",Tsunami,.80,.06,.09,.06,.00,16305,15825,12321,7275,
C,22.5,NA,NA,What is a goat's offspring called?,Kid,.79,.07,.03,.09,.01,6630,20904,7186,14710,20997
C,22.5,NA,NA,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,.79,.01,.03,.16,.00,11907,13929,22403,24938,
B,25.5,NA,NA,What is the term for nautical mile per hour?,Knot,.78,.04,.13,.06,.00,11021,9352,7664,7696,
B,25.5,NA,NA,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,.78,.06,.09,.07,.00,11120,12073,9026,19304,
B,25.5,NA,NA,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,.78,.02,.15,.04,.02,15293,9127,9356,7977,3148
B,25.5,NA,NA,Which video game character is a plumber?,Super Mario,.78,.02,.19,.02,.00,8654,32307,6906,6511,
C,28,NA,NA,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,.76,.13,.07,.03,.00,11578,27153,20167,38612,
D,29,189,157,What is the last name of the doctor who first developed a vaccine against polio?,Salk,.76,.14,.06,.05,.00,9560,19466,24428,27554,
C,31,NA,NA,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,.75,.16,.01,.06,.01,10934,28654,8260,25953,41363
C,31,NA,NA,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,.75,.16,.01,.06,.01,11725,14732,11453,18545,19988
C,31,NA,NA,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,.75,.03,.04,.18,.00,15394,34180,21189,23490,
B,33,NA,NA,Which was the 49th state to join the Union?,Alaska,.74,.00,.09,.17,.00,14660,,8934,15111,
C,34.5,NA,NA,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,.73,.09,.04,.13,.00,14155,27071,11225,57917,
C,34.5,NA,NA,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,.73,.15,.03,.09,.00,15053,31728,29593,23151,
D,36,181,150,Of which country is Budapest the capital?,Hungary,.73,.02,.03,.23,.00,12079,12334,8975,19847,
B,38.5,NA,NA,What do you call a question that is asked for effect with no answer expected?,Rhetorical,.72,.09,.09,.09,.00,19252,18609,8903,16234,
B,38.5,NA,NA,What word means to formally renounce a throne?,Abdicate,.72,.04,.17,.07,.00,10897,15910,8556,17215,
B,38.5,NA,NA,Which president suffered from polio?,Roosevelt,.72,.09,.07,.11,.00,14592,7243,8777,14247,
B,38.5,NA,NA,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,.72,.06,.04,.17,.02,13633,33683,7328,19297,3417
C,41.5,NA,NA,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,.72,.06,.01,.19,.01,12441,31471,14796,22470,27294
C,41.5,NA,NA,What was the name of the body of water where Thoreau studied for two years?,Walden Pond,.72,.04,.16,.06,.01,13551,22281,12283,18319,18023
B,44,NA,NA,Where was the Declaration of Independence signed?,Philadelphia,.70,.06,.04,.19,.02,12027,6227,8907,14219,4935
B,44,NA,NA,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,.70,.15,.11,.04,.00,13636,25854,14925,6364,
B,44,NA,NA,"What is the musical term that means ""without instrumental accompaniment""?",A capella,.70,.07,.13,.09,.00,15668,36799,13172,7133,
C,47.5,NA,NA,What do we call the bone which composes the lower jaw?,Mandible,.70,.03,.12,.15,.00,13662,19805,17737,19754,
C,47.5,NA,NA,What is the last name of the first female pilot to cross the Atlantic?,Earhart,.70,.19,.04,.06,.00,18780,29294,82532,174108,
C,47.5,NA,NA,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,.70,.10,.07,.12,.00,14557,21740,31168,21197,
C,47.5,NA,NA,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,.70,.06,.19,.03,.01,13237,13150,13333,17003,8411
C,50,NA,NA,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,.69,.12,.04,.15,.00,12060,25695,9706,16126,
C,51,NA,NA,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,.67,.00,.01,.31,.00,12581,,12289,29955,
B,53,NA,NA,What are people who make maps called?,Cartographers,.67,.06,.24,.04,.00,13531,17546,8952,9951,
B,53,NA,NA,What is the unit that marks sound intensity?,Decibel,.67,.07,.13,.13,.00,14154,28216,10407,13674,
B,53,NA,NA,What is the front section of a boat?,Bow,.67,.07,.02,.24,.00,9888,11350,2986,7807,
C,55.5,NA,NA,Humans are classified as what species?,Sapiens,.66,.01,.00,.33,.00,12219,21122,,15264,
C,55.5,NA,NA,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,.66,.13,.01,.19,.00,13549,24646,9408,23046,
B,61.5,NA,NA,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes,.65,.04,.22,.09,.00,16071,10514,10032,13112,
B,61.5,NA,NA,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,.24,.00,.19,.56,.02,21661,17694,34802,17455,1050
B,61.5,NA,NA,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,.65,.09,.06,.19,.02,27416,12405,8202,15423,1607
B,61.5,NA,NA,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,.65,.11,.22,.02,.00,21352,11133,10723,1668,
B,61.5,NA,NA,Who is the artist that painted everyday objects such as soup cans?,Warhol,.65,.11,.20,.04,.00,18177,44745,6601,8508,
B,61.5,NA,NA,What do you call a plant material such as straw used as a roofing material for a house?,Thatch,.65,.04,.20,.11,.00,11185,6252,12353,14477,
B,61.5,NA,NA,"What is the name of the unrhymed verse form of Japanese origin having three lines containing usually 5, 7, and 5 syllables?",Haiku,.65,.04,.28,.04,.00,17762,7252,12685,7920,
B,61.5,NA,NA,What is the capital of Thailand?,Bangkok,.65,.06,.20,.07,.02,11171,13498,5702,13651,2790
B,61.5,NA,NA,"Who is the oldest sister in ""The Brady Bunch""?",Marcia,.65,.15,.15,.06,.00,10644,9633,5459,12208,
B,61.5,NA,NA,What word means to divide an area into electoral district in order to give special advantage to one political party?,Gerrymander,.65,.07,.22,.06,.00,18490,22447,16468,16391,
C,68.5,NA,NA,What is the fin on the back of a fish called?,Dorsal,.64,.07,.16,.10,.01,9555,19907,14615,23654,35858
C,68.5,NA,NA,What mammal has armor-like bony plates as its most distinguishing feature?,Armadillo,.64,.07,.09,.19,.00,13987,27685,13863,29768,
C,68.5,NA,NA,What did the Seven Dwarves do for a living?,Mining,.64,.09,.10,.16,.00,10040,10197,13572,17626,
C,68.5,NA,NA,What river separates Washington D.C. from Virginia?,Potomac,.64,.16,.03,.15,.01,10585,27007,22975,16876,55723
B,71,NA,NA,What do you call a member of a volunteer group organized to suppress and punish crime (as when legal processes seem inadequate)?,Vigilante,.63,.07,.15,.15,.00,23342,12417,13172,15686,
C,74,NA,NA,What instrument is used to measure earthquakes?,Seismograph,.63,.10,.01,.25,.00,17372,18051,6303,22728,
C,74,NA,NA,What was the land where Puff the Magic Dragon lives?,Honalee,.63,.10,.04,.21,.01,14819,17209,14188,20557,40858
C,74,NA,NA,What sailor's disease resulted from a deficiency in vitamin C?,Scurvy,.63,.06,.06,.25,.00,9952,18811,14685,21058,
C,74,NA,NA,What is the technical term for the phenomenon commonly known as the Northern Lights?,Aurora Borealis,.63,.09,.15,.12,.01,18364,25828,11650,56979,998
C,74,NA,NA,What type of paper is commonly used as an acid-base indicator in chemistry classes?,Litmus,.63,.07,.19,.10,.00,12999,21669,14651,15841,
C,77,NA,NA,What is the name of the short sword fastened to the end of a musket or rifle?,Bayonet,.61,.07,.12,.18,.01,12494,21794,18927,19045,12927
B,78,NA,NA,Where is the Amazon rainforest located?,Brazil,.61,.02,.06,.31,.00,12450,32661,8818,17521,
C,80,NA,NA,What device is used to measure levels of radioactivity?,Geiger Counter,.60,.21,.09,.09,.01,12760,17459,26642,21462,61341
C,80,NA,NA,Who was the magician and prophet from King Arthur's era?,Merlin,.60,.21,.12,.04,.03,12250,21436,10224,41090,12911
C,80,NA,NA,What was the name of the disorder depicted by Dustin Hoffman's character in the movie 'Rainman' otherwise known as Idiot Savantism?,Autism,.60,.13,.15,.10,.01,22682,28438,22400,42181,29355
A,82.5,NA,NA,What does VoIP stand for?,Voice over Internet Protocol,.60,.02,.26,.12,.00,23624,10021,8741,23351,
A,82.5,NA,NA,Who defeated Pres. Harry Truman in the 1948 election according to an infamous Chicago Tribune headline?,Thomas Dewey,.60,.16,.21,.04,.00,18543,13155,9920,28748,
B,86,NA,NA,What is the name of the migratory grasshopper that travels in vast swarms and strips areas passed of all vegetation?,Locust,.59,.09,.17,.15,.00,11649,25911,14144,12684,
B,86,NA,NA,What city is the capital of Iceland?,Reykjavik,.59,.09,.24,.06,.02,15816,17614,8555,7203,2382
B,86,NA,NA,Who was the first female Supreme Court justice?,O'Connor,.59,.13,.19,.09,.00,27108,23430,5649,16562,
B,86,NA,NA,Who was the composer who worked with deafness?,Beethoven,.59,.02,.17,.22,.00,19775,6175,19919,9748,
B,86,NA,NA,What is the last name of the man who assassinated Robert Kennedy?,Sirhan,.59,.19,.07,.15,.00,17317,13717,9523,15723,
C,89,NA,NA,What is a community of ants called?,Colony,.58,.03,.04,.33,.01,8538,13121,13066,17543,18102
B,91.5,NA,NA,What is the last name of the actor who played Perry Mason on TV?,Burr,.57,.22,.15,.06,.00,13623,13016,5072,55740,
B,91.5,NA,NA,What do you call a stone building (often found in cemetery) with places for entombment of the dead above ground?,Mausoleum,.57,.09,.09,.24,.00,23320,52414,23210,15755,
B,91.5,NA,NA,"What is the former name of Istanbul, which was used when the city was occupied by Christians?",Constantinople,.57,.07,.30,.06,.00,22830,32674,7001,19019,
B,91.5,NA,NA,"What was the last name of Lucille Ball's first husband, who starred with her on ""I Love Lucy""?",Arnaz,.57,.04,.02,.35,.02,12671,43324,8677,12491,2209
C,96,NA,NA,What is the name of the three leaf clover which is the emblem of Ireland?,Shamrock,.57,.15,.22,.04,.01,12728,28581,18578,8360,13480
C,96,NA,NA,What was the name of the infamous American traitor in the Revolutionary War?,Arnold,.57,.21,.01,.21,.00,17009,30200,16031,89377,
C,96,NA,NA,What is a group of geese called?,Gaggle,.57,.03,.01,.37,.01,7744,23742,7498,11176,11964
C,96,NA,NA,What is a young female horse called?,Filly,.57,.06,.00,.37,.00,9430,51608,,15419,
C,96,NA,NA,What is the name of the disease of the liver caused by abnormally high levels of bile in the blood that gives the skin a yellow color?,Jaundice,.57,.09,.00,.34,.00,15856,39291,,28184,
D,99,190,181,What is the last name of the man who began the Reformation in Germany?,Luther,.56,.09,.27,.08,.00,12457,28706,9909,11438,
B,101,NA,NA,What is the name of the islands off the coast of Ecuador that Darwin visited to study unique species of birds and animals?,Galapagos,.56,.15,.22,.07,.00,26153,17483,7989,10490,
B,101,NA,NA,"What is the word that means to cause to explode or to set off, for example: a bomb?",Detonate,.56,.06,.06,.33,.00,11987,21066,10114,15789,
B,101,NA,NA,What is the orbiting particle of an atom?,Electron,.56,.07,.20,.17,.00,18131,11170,4067,36049,
C,104,NA,NA,What was the last name of the female mouseketeer who later appeared in commercials for peanut butter?,Funicello,.55,.09,.19,.15,.01,14773,15804,15241,17899,61201
C,104,NA,NA,What is the famous prehistoric structure situated on Salisbury Plain England?,Stonehenge,.55,.24,.12,.06,.03,15418,30043,8442,63415,37594
C,104,NA,NA,What seasonal South Asian wind is characterized by heavy rains?,Monsoon,.55,.18,.09,.18,.00,14005,33728,14703,14906,
C,107,NA,NA,What is the name of the legendary race of female warriors?,Amazons,.54,.18,.15,.12,.01,10165,21414,7737,35494,6365
C,107,NA,NA,What is the wand called which is held in the hand as a symbol of regal or imperial power?,Scepter,.54,.13,.13,.19,.00,14527,19472,20402,26568,
