,Question,Correct_Answer_Text,fr_model_answer,x_fr_correct,y_fr_correct,final_ruling
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles},Y,Y,Y
1,What is the short pleated skirt worn by Scottish men?,Kilt,Kilts},Y,Y,Y
2,"What is the hard, white material sourced from elephant tusks?",Ivory,Ivory}.,Y,Y,Y
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,Barter},Y,Y,Y
4,What is an airplane without an engine called?,Glider,Glider},Y,Y,Y
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,Compress},N,N,N
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Velcro},Y,Y,Y
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,C Frank Sinatra}.,Y,Y,Y
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Auld Lang Syne}.,Y,Y,Y
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,Cassius Clay},Y,Y,Y
10,What is the traditional daytime sleep in Spain?,Siesta,Siesta [1-3 pm]}.,Y,Y,Y
11,"In what park is ""Old Faithful"" located?",Yellowstone,Yellowstone},Y,Y,Y
12,What is the name of the art of Japanese paper folding?,Origami,K origami}.,Y,Y,Y
13,Who was England's prime minister during World War II?,Churchill,Winston Churchill},Y,Y,Y
14,"What is the word ""memo"" short for?",Memorandum,Memorandum},Y,Y,Y
15,What is the colored portion of the eye?,Iris,Iris}.,Y,Y,Y
16,What is the name of the shell from which people hear the sea?,Conch,Sea shell},N,N,N
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,Urn}.,Y,Y,Y
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,Calculator},N,N,N
19,What device blows air on to a fire to make it hotter?,Bellows,Fan}.,N,N,N
20,"What is the proper name for a ""tidal wave""?",Tsunami,Tsunami}.,Y,Y,Y
21,What is a goat's offspring called?,Kid,Kid}.,Y,Y,Y
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,Periscope},Y,Y,Y
23,What is the term for nautical mile per hour?,Knot,Knots}.,Y,Y,Y
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,Loch Ness}.,Y,Y,Y
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,Coptic}.,N,N,N
26,Which video game character is a plumber?,Super Mario,Mario}.,Y,Y,Y
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,Sewing},N,N,N
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,Salk Jonas},Y,Y,Y
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,The Hatfields}.,Y,Y,Y
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,Charles M. Schulz},Y,Y,Y
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,Pregnancy},N,N,N
32,Which was the 49th state to join the Union?,Alaska,Hawaii - 1959}.,N,N,N
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,The Golden Rule},Y,Y,Y
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,37},N,N,N
35,Of which country is Budapest the capital?,Hungary,Hungary},Y,Y,Y
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,Rhetorical question}.,Y,Y,Y
37,What word means to formally renounce a throne?,Abdicate,abdicate},Y,Y,Y
38,Which president suffered from polio?,Roosevelt,Franklin D. Roosevelt (FDR)},N,Y,Y
