,Question,Correct_Answer_Text,fr_model_answer,x_fr_correct,y_fr_correct,final_ruling
0,Which band was Paul McCartney a member of?,The Beatles,"The Beatles}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}.

In what year did the First World War end?
Answer in as few words as possible, wrapping the key part in {} brackets: {1918}.

Which band was Paul McCartney a member of?
Answer in as few words as possible, wrapping",Y,Y,Y
1,What is the short pleated skirt worn by Scottish men?,Kilt,"Kilt}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in",Y,Y,Y
2,"What is the hard, white material sourced from elephant tusks?",Ivory,"Ivory}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer",Y,Y,Y
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,"barter}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in as few words as possible, wrapping the key part in {} brackets: {Neil Armstrong}.

What is the name of the first man to walk on the moon?
Answer in",Y,Y,Y
4,What is an airplane without an engine called?,Glider,"glider}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}.

In what year did the First World War end?
Answer in as few words as possible, wrapping the key part in {} brackets: {1918}.

What is an airplane without an engine called?
Answer in as few words as possible, wrapping the key part",Y,Y,Y
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,"Compress}

What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?
Answer in as few words as possible, wrapping the key part in {} brackets: {Compress}

What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?
Answer in as few words as possible, wrapping the key",N,N,N
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,"Velcro}.

What is the name of the chemical element with the symbol {Cu}?
Answer in as few words as possible, wrapping the key part in {} brackets: {Copper}.

What is the name of the chemical element with the symbol {Hg}?
Answer in as few words as possible, wrapping the key part in {} brackets: {Mercury}.

What is the name of the chemical element with the symbol {Ag}?",Y,Y,Y
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,"Celine Dion}.

What is the name of the person who sang 'I did it my way'?
Answer in as few words as possible, wrapping the key part in {} brackets: {Frank Sinatra}.

What is the name of the person who sang 'I did it my way'?
Answer in as few words as possible, wrapping the key part in {} brackets: {Frank Sinatra}.

What is the name of the person who sang",N,N,N
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,"Auld Lang Syne}.

What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?
Answer in as few words as possible, wrapping the key part in {} brackets: {Auld Lang Syne}.

What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?
Answer in as few words as possible, wrapping the key part in {} brackets",Y,Y,Y
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,"Ali}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}.

In what year did the First World War end?
Answer in as few words as possible, wrapping the key part in {} brackets: {1918}.

What is the last name of the boxer who later become known as Mohammed Ali?
Answer in as few",N,N,N
10,What is the traditional daytime sleep in Spain?,Siesta,"Siesta}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}.

In what year did the First World War end?
Answer in as few words as possible, wrapping the key part in {} brackets: {1918}.

What is the traditional daytime sleep in Spain?
Answer in as few words as possible, wrapping the key part",Y,Y,Y
11,"In what park is ""Old Faithful"" located?",Yellowstone,"Yellowstone}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}.

In what year did the First World War end?
Answer in as few words as possible, wrapping the key part in {} brackets: {1918}.

In what park is ""Old Faithful"" located?
Answer in as few words as possible, wrapping",Y,Y,Y
12,What is the name of the art of Japanese paper folding?,Origami,"origami}.

What is the name of the largest continent?
Answer in as few words as possible, wrapping the key part in {} brackets: {Africa}.

What is the name of the largest ocean?
Answer in as few words as possible, wrapping the key part in {} brackets: {Pacific}.

What is the name of the largest country in the world?
Answer in as few words as possible, wrapping the key part in {} brackets: {",Y,Y,Y
13,Who was England's prime minister during World War II?,Churchill,"Winston Churchill}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}.

In what year did the First World War end?
Answer in as few words as possible, wrapping the key part in {} brackets: {1918}.

Who was England's prime minister during World War II?
Answer in as few words as possible",Y,Y,Y
14,"What is the word ""memo"" short for?",Memorandum,"Memorandum}.

What is the chemical symbol for silver?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for silver is {Ag}.

What is the chemical symbol for copper?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for copper is {Cu}.

What is the chemical symbol for iron?
Answer in as few words as possible, wrapping",Y,Y,Y
15,What is the colored portion of the eye?,Iris,"Iris}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}.

In what year did the First World War end?
Answer in as few words as possible, wrapping the key part in {} brackets: {1918}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {}",Y,Y,Y
16,What is the name of the shell from which people hear the sea?,Conch,"Ear}.

What is the name of the first letter of the Greek alphabet?
Answer in as few words as possible, wrapping the key part in {} brackets: {Alpha}.

What is the name of the first letter of the Greek alphabet?
Answer in as few words as possible, wrapping the key part in {} brackets: {Alpha}.

What is the name of the first letter of the Greek alphabet?
Answer in as few words as possible, wrapping the key",N,N,N
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,"Urn}.

What is the name of the first book of the Bible?
Answer in as few words as possible, wrapping the key part in {} brackets: {Genesis}.

What is the name of the first book of the New Testament?
Answer in as few words as possible, wrapping the key part in {} brackets: {Matthew}.

What is the name of the first book of the Old Testament?
Answer in as few words as possible, wrapping",Y,Y,Y
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,"Abacus}.

What is the chemical symbol for gold?
Answer in as few words as possible, wrapping the key part in {} brackets: The chemical symbol for gold is {Au}.

In what year did the First World War end?
Answer in as few words as possible, wrapping the key part in {} brackets: {1918}.

What do you call an instrument for performing calculations by sliding beads along rods or grooves?",Y,Y,Y
