,Question,Correct_Answer_Text,fr_model_answer,x_fr_correct,y_fr_correct,final_ruling
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles},Y,Y,Y
1,What is the short pleated skirt worn by Scottish men?,Kilt,Kilt}.,Y,Y,Y
2,"What is the hard, white material sourced from elephant tusks?",Ivory,Quartz}.,N,N,N
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,Au-to-aut barter}.,Y,?,N
4,What is an airplane without an engine called?,Glider,helicopter}.,N,N,N
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,Ace bandage}.,N,N,N
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Velcro}.,Y,Y,Y
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,Boing Boing},N,N,N
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Las Postas}.,N,N,N
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,Ali}.,N,N,N
10,What is the traditional daytime sleep in Spain?,Siesta,Nap in Spain}.,N,N,N
11,"In what park is ""Old Faithful"" located?",Yellowstone,Yellowstone National Park}.,Y,Y,Y
12,What is the name of the art of Japanese paper folding?,Origami,Origami}.,Y,Y,Y
13,Who was England's prime minister during World War II?,Churchill,Winston Churchill}.,Y,Y,Y
14,"What is the word ""memo"" short for?",Memorandum,Memo},N,N,N
15,What is the colored portion of the eye?,Iris,Iris}.,Y,Y,Y
16,What is the name of the shell from which people hear the sea?,Conch,Mundus Oceanicus}.,N,N,N
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,Burial urn}.,Y,Y,Y
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,Calculating Machine},N,N,N
19,What device blows air on to a fire to make it hotter?,Bellows,Fire extinguisher}.,N,N,N
20,"What is the proper name for a ""tidal wave""?",Tsunami,Storm surge}.,N,N,N
21,What is a goat's offspring called?,Kid,Sheep}.,N,N,N
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,sonar}.,N,N,N
23,What is the term for nautical mile per hour?,Knot, knot }.,Y,Y,Y
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,Glen Fyne}.,N,N,N
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,Palm}.,N,N,N
26,Which video game character is a plumber?,Super Mario,Mario}.,Y,Y,Y
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,Macramé}.,Y,Y,Y
