,Question,Correct_Answer_Text,fr_model_answer,x_fr_correct,y_fr_correct,final_ruling
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles}.,Y,Y,Y
1,What is the short pleated skirt worn by Scottish men?,Kilt,A kilt}.,Y,Y,Y
2,"What is the hard, white material sourced from elephant tusks?",Ivory,"Ivory}.
Answer: Ivory",Y,Y,Y
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,Barter}.,Y,Y,Y
4,What is an airplane without an engine called?,Glider,"A bird}.
The key part is ""bird"", which is an airplane without an engine.",N,N,N
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,Tourniquet}.,Y,Y,Y
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Nylon}.,N,N,N
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,Frank Sinatra}.,Y,Y,Y
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Happy New Year}.,N,N,N
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,Muhammad Ali}.,N,N,N
10,What is the traditional daytime sleep in Spain?,Siesta,A siesta}.,N,Y,Y
11,"In what park is ""Old Faithful"" located?",Yellowstone,Central Park}.,Y,N,N
12,What is the name of the art of Japanese paper folding?,Origami,Origami}.,Y,Y,Y
13,Who was England's prime minister during World War II?,Churchill,Winston Churchill}.,N,Y,Y
14,"What is the word ""memo"" short for?",Memorandum,A message or note}.,Y,N,N
15,What is the colored portion of the eye?,Iris,"Iris}.
Answer: The colored portion of the eye.",N,Y,Y
16,What is the name of the shell from which people hear the sea?,Conch,"Shell}.
The context does not provide any information about the name of a shell from which people hear the sea, so I cannot answer this question from the provided context.",Y,N,N
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,"Urn}.
The context does not provide any information about an urn, so I cannot answer this question from the provided context.",N,Y,Y
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,A calculator}.,N,N,N
19,What device blows air on to a fire to make it hotter?,Bellows,"A match}.
The answer is a device that blows air on to a fire to make it hotter.",N,N,N
20,"What is the proper name for a ""tidal wave""?",Tsunami,A tidal wave is a wave caused by the gravitational pull of the moon or sun on a body of water.},Y,N,N
21,What is a goat's offspring called?,Kid,"Kid}.
Answer: A kid is a young animal born from a goat.",N,Y,Y
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,"Sonar}.
The sonar is a device that allows submarines to see the ocean floor and other objects beneath the surface.",N,N,N
23,What is the term for nautical mile per hour?,Knot,Nautical mile per hour}.,Y,N,N
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness," Loch Ness }.
The question is asking for the name of a lake in Scotland, which is known for its legendary monster.",N,Y,Y
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,Paper}.,Y,N,N
26,Which video game character is a plumber?,Super Mario,Mario}.,N,Y,Y
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,Sewing}.,N,N,N
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,Jonas Salk}.,Y,Y,Y
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,The McCoys}.,N,N,N
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,Charlie Brown}.,N,N,N
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,Gestation period}.,Y,Y,Y
32,Which was the 49th state to join the Union?,Alaska,California}.,N,N,N
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,Love}.,N,N,N
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,The Dred Scott Decision}.,N,N,N
35,Of which country is Budapest the capital?,Hungary,Hungary}.,Y,Y,Y
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,A question without an answer}.,N,N,N
37,What word means to formally renounce a throne?,Abdicate,Abdication}.,Y,Y,Y
38,Which president suffered from polio?,Roosevelt,Franklin D. Roosevelt}.,Y,Y,Y
39,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,"Braising}.
Answer: Braising",N,N,N
40,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,Agnostic}.,Y,Y,Y
41,What was the name of the body of water where Thoreau studied for two years?,Walden Pond,Walden}.,N,Y,Y
42,Where was the Declaration of Independence signed?,Philadelphia,1776},N,N,N
43,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,Seasonal shedding}.,N,N,N
44,"What is the musical term that means ""without instrumental accompaniment""?",A capella,Improvisation}.,N,N,N
45,What do we call the bone which composes the lower jaw?,Mandible,Jawbone}.,N,N,N
46,What is the last name of the first female pilot to cross the Atlantic?,Earhart,Wright}.,N,N,N
47,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,"Carpetbaggers}.
This term refers to the poor and marginalized people who migrated south after the Civil War.",Y,Y,Y
48,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,Aesop}.,Y,Y,Y
49,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,Clappers}.,N,N,N
50,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,Horse-drawn wagon}.,N,N,N
51,What are people who make maps called?,Cartographers,Cartographers}.,Y,Y,Y
52,What is the unit that marks sound intensity?,Decibel,decibel}.,Y,Y,Y
