,Question,Correct_Answer_Text,fr_model_answer,x_fr_correct,y_fr_correct,final_ruling
0,Which band was Paul McCartney a member of?,The Beatles,The Beatles}.,Y,Y,Y
1,What is the short pleated skirt worn by Scottish men?,Kilt,"Kilt}.
",N,Y,Y
2,"What is the hard, white material sourced from elephant tusks?",Ivory,Ivory},Y,Y,Y
3,What word means to trade by exchanging goods for other goods rather than money?,Barter,Barter},Y,Y,Y
4,What is an airplane without an engine called?,Glider,Glider},Y,Y,Y
5,What is the term for the first aid instrument which stops the flow of blood in an artery preventing it from being lost through a wound?,Tourniquet,"Tourniquet}.
",N,Y,Y
6,What is the name of the nylon fabric which has two pieces which stick to each other and is used as a fastener?,Velcro,Velcro},Y,Y,Y
7,What is the last name of the person who sang 'I did it my way'?,Sinatra,Sinatra}.,Y,Y,Y
8,What is the name of the song traditionally sung at the stroke of midnight on New Year's Eve?,Auld Lang Syne,Auld Lang Syne},Y,Y,Y
9,What is the last name of the boxer who later become known as Mohammed Ali?,Clay,Clay},Y,Y,Y
10,What is the traditional daytime sleep in Spain?,Siesta,Siesta},Y,Y,Y
11,"In what park is ""Old Faithful"" located?",Yellowstone,"Yellowstone National Park}.
",N,Y,Y
12,What is the name of the art of Japanese paper folding?,Origami,Origami},Y,Y,Y
13,Who was England's prime minister during World War II?,Churchill,"Winston Churchill}.
",N,Y,Y
14,"What is the word ""memo"" short for?",Memorandum,Memorandum},Y,Y,Y
15,What is the colored portion of the eye?,Iris,Iris},Y,Y,Y
16,What is the name of the shell from which people hear the sea?,Conch,Seashell},N,N,N
17,"What do you call the vessel, usually an ornamental vase on a pedestal, which is used to preserve the ashes of the dead?",Urn,Urn},Y,Y,Y
18,What do you call an instrument for performing calculations by sliding beads along rods or grooves?,Abacus,"Abacus}.
",N,Y,Y
19,What device blows air on to a fire to make it hotter?,Bellows,Blower},N,N,N
20,"What is the proper name for a ""tidal wave""?",Tsunami,"Tsunami}.
",N,Y,Y
21,What is a goat's offspring called?,Kid,Kid},Y,Y,Y
22,What optical instrument allows crews of submerged submarines to look at surface ships?,Periscope,Periscope},Y,Y,Y
23,What is the term for nautical mile per hour?,Knot,Knots},Y,Y,Y
24,What is the name of the loch (lake) in Scotland that is supposedly home of a legendary monster?,Ness,Loch Ness}.,Y,Y,Y
25,What is the name of the Egyptian plant that is cut into strips and pressed into a material to write on?,Papyrus,Papyrus},Y,Y,Y
26,Which video game character is a plumber?,Super Mario,"Mario}.
",N,Y,Y
27,"What is the craft of tying knots to make belts, bags, and plant hangers?",Macrame,Macrame},Y,Y,Y
28,What is the last name of the doctor who first developed a vaccine against polio?,Salk,Salk},Y,Y,Y
29,What is the name of the hillbilly family who had the famous feud with the McCoys?,Hatfield,Hatfields}.,Y,Y,Y
30,What is the name of the man who created the comic strip 'Peanuts'?,Shultz,Charles M. Schulz},Y,Y,Y
31,In mammals the period of time between fertilization of the egg and the birth of the young is known by what scientific term?,Gestation,Gestation},Y,Y,Y
32,Which was the 49th state to join the Union?,Alaska,Alaska}.,Y,Y,Y
33,What is the term frequently applied to Christ's doctrine of doing to others as we would wish them to do unto us?,Golden Rule,"Golden Rule}.
",N,Y,Y
34,What was the name given to the geographic line in the United States which was the separation of slavery and freedom?,Mason-Dixon Line,Mason-Dixon Line},Y,Y,Y
35,Of which country is Budapest the capital?,Hungary,Hungary}.,Y,Y,Y
36,What do you call a question that is asked for effect with no answer expected?,Rhetorical,Rhetorical question},Y,Y,Y
37,What word means to formally renounce a throne?,Abdicate,Abdicate},Y,Y,Y
38,Which president suffered from polio?,Roosevelt,"Franklin D. Roosevelt}.
",N,Y,Y
39,"What do you call a savory sauce in which meat, fish, or a vegetable is soaked before cooking to enhance the flavor?",Marinade,Marinade},Y,Y,Y
40,What is the term for someone who doubts but does not deny the existence of God?,Agnostic,"Agnostic}.
",N,Y,Y
41,What was the name of the body of water where Thoreau studied for two years?,Walden Pond, Walden Pond },Y,Y,Y
42,Where was the Declaration of Independence signed?,Philadelphia,"Philadelphia}.
",N,Y,Y
43,"What word means to shed hair, feathers, or an outer layer periodically, as with the changing seasons?",Molt,Moult},Y,Y,Y
44,"What is the musical term that means ""without instrumental accompaniment""?",A capella,A cappella},Y,Y,Y
45,What do we call the bone which composes the lower jaw?,Mandible,"Mandible}.
",N,Y,Y
46,What is the last name of the first female pilot to cross the Atlantic?,Earhart,Earhart},Y,Y,Y
47,What nickname was given to Northerners who went south after the Civil War and took advantage of Southern poverty?,Carpetbaggers,"Carpetbaggers}.
",N,Y,Y
48,What was the last name of the author who wrote the fable about the fox who assumed the grapes he couldn't reach were sour anyway?,Aesop,La Fontaine},N,N,N
49,What are the wooden clappers called that Spanish dancers hold in their hands?,Castanets,Castanets},Y,Y,Y
50,What was the name of the vehicle used to carry and cook food on cattle drives?,Chuckwagon,Chuckwagon},Y,Y,Y
51,What are people who make maps called?,Cartographers,Cartographers},Y,Y,Y
52,What is the unit that marks sound intensity?,Decibel,Decibel},Y,Y,Y
53,What is the front section of a boat?,Bow,Bow},Y,Y,Y
54,Humans are classified as what species?,Sapiens,"Homo sapiens}.
",N,Y,Y
55,What is the name of the palace in London in which the Monarch of England resides?,Buckingham,Buckingham Palace},Y,Y,Y
56,What is the resort city on the French Riviera between Nice and St. Tropez where a famous film festival is held?,Cannes,Cannes},Y,Y,Y
57,"What do you call a feeling of resentment, often at some fancied slight or insult? (usually follows the verb ""take"")",Umbrage,Offense},N,N,N
58,What is the name of a mixture of dried spices and flowers used for perfuming a room?,Potpourri,Potpourri},Y,Y,Y
59,What is the order of lower mammals including kangaroos and opossums which carry their young in an abdominal pouch?,Marsupialia,"Marsupials}.
",N,Y,Y
60,Who is the artist that painted everyday objects such as soup cans?,Warhol,Andy Warhol}.,Y,Y,Y
61,What do you call a plant material such as straw used as a roofing material for a house?,Thatch,Thatch},Y,Y,Y
62,"What is the name of the unrhymed verse form of Japanese origin having three lines containing usually 5, 7, and 5 syllables?",Haiku,"Haiku}.
",N,Y,Y
63,What is the capital of Thailand?,Bangkok,"Bangkok}.
",N,Y,Y
64,"Who is the oldest sister in ""The Brady Bunch""?",Marcia,Marcia},Y,Y,Y
65,What word means to divide an area into electoral district in order to give special advantage to one political party?,Gerrymander,Gerrymandering},Y,Y,Y
66,What is the fin on the back of a fish called?,Dorsal,Dorsal fin},Y,Y,Y
67,What mammal has armor-like bony plates as its most distinguishing feature?,Armadillo,Armadillo},Y,Y,Y
68,What did the Seven Dwarves do for a living?,Mining,"Mining}.
",N,Y,Y
69,What river separates Washington D.C. from Virginia?,Potomac,"The Potomac River}.
",N,Y,Y
70,What do you call a member of a volunteer group organized to suppress and punish crime (as when legal processes seem inadequate)?,Vigilante,Vigilante},Y,Y,Y
71,What instrument is used to measure earthquakes?,Seismograph,"Seismograph}.
",N,Y,Y
72,What was the land where Puff the Magic Dragon lives?,Honalee,"Honah Lee}.
",N,Y,Y
73,What sailor's disease resulted from a deficiency in vitamin C?,Scurvy,"Scurvy}.
",N,Y,Y
74,What is the technical term for the phenomenon commonly known as the Northern Lights?,Aurora Borealis,Aurora borealis},Y,Y,Y
75,What type of paper is commonly used as an acid-base indicator in chemistry classes?,Litmus,"Litmus paper}.
",N,Y,Y
76,What is the name of the short sword fastened to the end of a musket or rifle?,Bayonet,Bayonet},Y,Y,Y
77,Where is the Amazon rainforest located?,Brazil,"South America}.
",N,Y,Y
78,What device is used to measure levels of radioactivity?,Geiger Counter,"Geiger counter}.
",N,Y,Y
79,Who was the magician and prophet from King Arthur's era?,Merlin,"Merlin}.
",N,Y,Y
80,What was the name of the disorder depicted by Dustin Hoffman's character in the movie 'Rainman' otherwise known as Idiot Savantism?,Autism,"Autism}.
",N,Y,Y
81,What does VoIP stand for?,Voice over Internet Protocol,Voice over Internet Protocol},Y,Y,Y
82,Who defeated Pres. Harry Truman in the 1948 election according to an infamous Chicago Tribune headline?,Thomas Dewey,Dewey}.,Y,Y,Y
83,What is the name of the migratory grasshopper that travels in vast swarms and strips areas passed of all vegetation?,Locust,Locust},Y,Y,Y
84,What city is the capital of Iceland?,Reykjavik,Reykjavik},Y,Y,Y
85,Who was the first female Supreme Court justice?,O'Connor,"Sandra Day O'Connor}.
",N,Y,Y
86,Who was the composer who worked with deafness?,Beethoven,Beethoven}.,Y,Y,Y
87,What is the last name of the man who assassinated Robert Kennedy?,Sirhan,Sirhan}.,Y,Y,Y
88,What is a community of ants called?,Colony,Colony},Y,Y,Y
89,What is the last name of the actor who played Perry Mason on TV?,Burr,Raymond}.,N,N,N
90,What do you call a stone building (often found in cemetery) with places for entombment of the dead above ground?,Mausoleum,Mausoleum},Y,Y,Y
91,"What is the former name of Istanbul, which was used when the city was occupied by Christians?",Constantinople,Constantinople},Y,Y,Y
92,"What was the last name of Lucille Ball's first husband, who starred with her on ""I Love Lucy""?",Arnaz,DeVito},N,N,N
93,What is the name of the three leaf clover which is the emblem of Ireland?,Shamrock,Shamrock},Y,Y,Y
94,What was the name of the infamous American traitor in the Revolutionary War?,Arnold,"Benedict Arnold}.
",N,Y,Y
95,What is a group of geese called?,Gaggle,"A gaggle}.
",N,Y,Y
96,What is a young female horse called?,Filly,Filly},Y,Y,Y
97,What is the name of the disease of the liver caused by abnormally high levels of bile in the blood that gives the skin a yellow color?,Jaundice,"Jaundice}.
",N,Y,Y
